answer,type,context,question,model_context
"Thein Sein was the first Burmese leader to visit the White House after the 2010 elections in Myanmar, marking the first such visit in 47 years.",irrelevant,,What event did Estonia compete in as a nation for the first time ever?,"Estonia competed as an independent nation for the first time at the 1920 Summer Olympics in Antwerp, Belgium."
Punjab is located in the alluvial plain of the Indus River.,irrelevant,,When was Barcelona able to win the continental treble for the second time?,"FC Barcelona's men's team won the continental treble for the second time in the 2014-15 season. The second treble was officially sealed on June 6, 2015, when they defeated Juventus in the Champions League final."
"Henry III rebuilt the abbey in honor of Edward the Confessor, a royal saint.",irrelevant,,"Due to low waer tariffs, what is required to maintain water treatment operation?","Maintaining water treatment operations in 2026 under low water tariffs requires a combination of strategic funding, operational efficiency, and regulatory compliance adjustments to bridge growing financial gaps."
The mission of the European Central Bank is outlined in Article 2 of the ECB's Statute.,irrelevant,,When did the FCC rule on net neturality?,"The Federal Communications Commission (FCC) has issued several significant rulings on net neutrality over the past two decades, characterized by shifts in regulatory classification based on the sitting presidential administration."
Kaunitz's objective was to establish an alliance between Austria and France.,irrelevant,,What was the name of the man from the Soviet Union who was doubtful of Operation Sea Lion?,"Ivan Maisky, the Soviet Ambassador to London from 1932 to 1943, was the prominent figure from the Soviet Union who expressed significant doubt regarding the feasibility of Operation Sea Lion."
"Recent studies suggest that reinfection, rather than reactivation, may be responsible for over 50% of recurrent tuberculosis cases in regions where the disease is prevalent.",irrelevant,,What expedition discovered coal on Antarctica?,"Coal was first discovered in Antarctica by the British Antarctic Expedition of 1907–1909, also known as the Nimrod Expedition, led by Ernest Shackleton."
"Harrison Ford was originally cast to play the role of a headteacher in E.T. the Extra-Terrestrial, but the scene was ultimately cut from the film.",irrelevant,,What governmental reorganization lapsed during the period of shoen development?,The governmental reorganization that lapsed during the development of shōen (private estates) was the Ritsuryō system.
"Montini viewed the nationalism in Poland as problematic because it treated foreigners, especially those from neighboring countries, as enemies. This mindset led to a desire for expansion at the expense of immediate neighbors, causing people to feel hemmed in and viewing peace as merely a temporary compromise between wars.",irrelevant,,How long did the rupture last?,"The term ""rupture"" typically refers to either a geological event (earthquakes) or a theological event (the ""Rapture""). Depending on the context, the duration varies:"
The Allobrogi were defeated in 121 BC.,irrelevant,,After whom was the Marquis of Granby pub named?,"The Marquis of Granby pubs were named after John Manners, the Marquess of Granby (1721–1770), a popular 18th-century British Army officer and politician."
Providing excessive financial assistance to consistently cover the debt crisis or permitting even higher budget deficits or debt levels could discourage the crisis states from implementing necessary reforms to regain their competitiveness and stand on their own.,irrelevant,,Which type of schooling can be most expensive?,"In 2026, the most expensive type of schooling varies based on whether one measures by total multi-year investment, specific high-cost majors, or the lack of an educational return."
One area where the US Air Force might conduct its missions is within the Continental United States.,irrelevant,,What KU school is abbreviated as SADP?,The KU school abbreviated as SADP is the School of Architecture & Design.
"The tabs on the user interface were referred to as ""Blades.""",irrelevant,,What was needed to set foot on most of the shores of the southern and central Mediterranean? ,"To set foot on most shores of the Southern and Central Mediterranean during various historical periods, travellers generally required a passport and often a specific visa or entry permission, especially from the mid-19th century onwards."
The River Tamar is located to the west of Plymouth.,irrelevant,,"In a 1977 poll, what percentage of respondents preferred life imprisonment to the death penalty?","In a 1977 Harris poll, 25% of respondents preferred life imprisonment to the death penalty."
It had been more than three decades since an earthquake of comparable magnitude had struck the Sichuan region.,irrelevant,,"During that 18th century period, literature began to be applied how?","In the 18th century, literature shifted from a niche aristocratic pursuit into a broader social and political tool. Key applications included:"
The origins of Islamic law schools can be traced back to the 9th century.,irrelevant,,When did Von Neumann get married for a second time?,"John von Neumann married for the second time on November 17, 1938, to Klára Dán."
"The other Orthodox synagogue in Richmond, besides Chabad of Virginia, is Keneseth Beth Israel.",irrelevant,,Human perception of musical intervals is approximately what?,Human perception of musical intervals is approximately logarithmic. This means that we perceive equal ratios of frequency as equal distances in pitch.
The constitution was based on a parliamentary system of government.,irrelevant,,Where did the idea of a group come from?,"The idea of a ""group"" varies by context, though it generally stems from the observation of individual units forming a collective whole."
Reporters at the time would sometimes rewrite or even fail to publish decisions that they personally disagreed with or found unfavorable.,irrelevant,,Those that received the death sentence had gotten it for their role in what?,"In the modern era of the United States (post-1976), individuals who receive a death sentence have almost exclusively done so for their role in murder. While federal and state laws allow for the death penalty for other ""crimes against the state,"" legal precedents have narrowed its application."
The chief leaders of the major heresies who did not agree with the doctrine were decreed to undergo severe penance.,irrelevant,,What is the elevation of Tennessee's highest point?,"Tennessee's highest point is Kuwohi, which has an elevation of 6,643 feet (2,025 meters). It was formerly known as Clingmans Dome, with the traditional Cherokee name of Kuwohi being officially restored in September 2024."
Agriculture makes up 3.0% of Greece's national economic output.,irrelevant,,What is the first step that leads to a software failure?,"In software engineering, the first step that leads to a software failure is a human Error."
The inflationary pressure continued throughout the 13th century.,irrelevant,,"If each house of parliament is notified seperately, what regulation applies?","In the United Kingdom, when each House of Parliament is notified separately of the laying of a statutory instrument (SI) or other papers, the procedure is primarily governed by the Statutory Instruments Act 1946 and the Standing Orders of each House."
"The downtown area of Ann Arbor is where you can find a mix of 19th-century, early-20th-century, and modern-style buildings.",irrelevant,,What is the basic difference between the dialects?,"Dialects differ from one another through variations in three primary linguistic areas: pronunciation (accent), vocabulary, and grammar. While speakers of different dialects often remain mutually intelligible—meaning they can generally understand each other—the specific ways they use the same language vary based on regional or social factors."
"In 2007, the president of the Royal Institute of British Architects was Jack Pringle.",irrelevant,,Who worked towards obtaining a extension of relations with Tibet?,"Various historical and modern figures have worked to obtain or extend diplomatic, trade, and political relations with Tibet:"
"The Japanese killed an estimated 250,000 civilians while searching for Doolittle's men.",irrelevant,,Biological and botanical derivatives have what positive effects?,"Biological and botanical derivatives offer a wide range of positive effects, primarily due to their antioxidant, anti-inflammatory, and antimicrobial properties. These natural compounds are widely used in medicine, nutrition, and skincare to promote overall health and address various conditions."
Chopin played at the funeral of the tenor Adolphe Nourrit in 1839.,irrelevant,,What province in Pakistan does Rajasthan border on its north?,Rajasthan borders the Pakistani province of Punjab to its north and northwest.
"The unusual aspect of the traffic between Broadway and Park Avenue South on 17th Street is that it runs in both directions, unlike the rest of the street where traffic flows one way from east to west.",irrelevant,,Who was the creator of the encyclopedia that The Times was known for selling to America?,The encyclopedia that The Times of London was famously associated with selling to America was the Encyclopædia Britannica.
The Sunday Times Travel Magazine is Britain's best-selling travel publication.,irrelevant,,What Latin dog term is still used because wild and domesticated dogs are recognizably different?,The Latin term Canis familiaris is still frequently used to distinguish domestic dogs from their wild ancestors.
"Along with the ancient and early modern periods, Somali architecture also existed during the medieval era.",irrelevant,,When did Hurricane Sandy strike New York?,"Hurricane Sandy struck New York on October 29, 2012. While the center of the storm made landfall near Atlantic City, New Jersey, at approximately 8:00 p.m. EDT, its massive size caused catastrophic impacts across the New York metropolitan area throughout the evening and into the following day."
The minority leader appoints three members to serve as Private Calendar objectors.,irrelevant,,What year was Charleston originally founded?,Charleston was originally founded in 1670.
Twenty people were killed in the April 9 attack.,irrelevant,,What was the second consideration?,"Depending on the context, the ""second consideration"" refers to several specific legal or procedural requirements:"
"In order for the body to function normally, free radicals must be neutralized by antioxidant compounds.",irrelevant,,What political idealogy did Gaddafi not believe in?,"Muammar Gaddafi rejected several major political ideologies, most notably Marxist communism, Western capitalism, and liberal parliamentary democracy."
Guam covers an area of 212 square miles.,irrelevant,,When did the other British states and colonies set the year start date to January 1?,"Great Britain and its various states and colonies officially moved the start of the year to January 1 at different times, though the majority adopted it simultaneously in 1752:"
"The Reinvent the Toilet Challenge is a long-term research and development initiative aimed at creating a hygienic, self-contained toilet system.",irrelevant,,How many stages are there in annelids' waste filtration?,"In annelids, waste filtration occurs through a two-stage process. This mechanism is carried out by specialized excretory organs called nephridia, which can be found in nearly every segment of the worm's body."
"Before the Manchus, Beijing was the capital of the Ming dynasty.",irrelevant,,When was United States v. LaMacchia contested?,The case of United States v. LaMacchia was contested primarily throughout 1994.
"The Bosporan Kingdom, ruled by the Spartocid dynasty, was comprised of various ethnic groups including Maeotians, Thracians, Crimean Scythians, and Cimmerians.",irrelevant,,"How many days of rain does Nanjing get a year, on average?","Nanjing averages approximately 114 to 123 days of precipitation per year. The specific annual average varies slightly by data source, but most reports fall within the 115–117 day range."
Uranium ranks 51st in terms of its abundance in the Earth's crust.,irrelevant,,What material give the vinyl records their known black color?,The material that gives vinyl records their known black color is carbon black.
Tuvalu's first gold medal in an international competition was won by the athlete Tuau Lapua Lapua.,irrelevant,,Why did Zhou Enlai want a commitment the Soviet Union to commit to supporting the Chinese troops?,Zhou Enlai wanted a commitment from the Soviet Union to support Chinese troops primarily during the Korean War to secure vital air cover and advanced military equipment necessary to challenge the United States forces effectively.
The United States Navy conducted a test of a railgun in February 2008.,irrelevant,,What is the official currency of the Marshall Islands?,The official currency of the Marshall Islands is the United States dollar (USD). The country has used the US dollar as its legal tender since 1979 and does not have a central bank of its own.
The directionality of DNA strands is caused by the chemical composition of the pentose residues in the bases.,irrelevant,,How could one deide what type of antenna is nedded for a project?,"Deciding on the correct antenna involves evaluating your project's technical requirements against environmental and physical constraints. By 2026, standard practices for antenna selection focus on the following primary factors:"
The New York film and television industry generates approximately $7.1 billion in direct expenditures annually.,irrelevant,,Who was Buckingham Palace was originally built for?,"Buckingham Palace was originally built for John Sheffield, the Duke of Buckingham."
"The Museo Torres García was established by Manolita Piña Torres, the widow of Joaquín Torres García.",irrelevant,,How many people were left without housing?,"According to 2024 and 2025 reports, record-high numbers of people are experiencing homelessness both in the United States and globally."
"The first principal of Brigham Young Academy, now known as BYU, chosen by Brigham Young was Karl Maeser, a German immigrant.",irrelevant,,Who dropped any passages dealing with miracles or visitations of angels from his work the Jefferson Bible?,"Thomas Jefferson dropped these passages from the work officially titled The Life and Morals of Jesus of Nazareth, commonly known today as the Jefferson Bible."
"The connection between Oberhauser and Bond is Hannes, Oberhauser's father, who became Bond's temporary guardian after Bond was orphaned.",irrelevant,,Where does Oklahoma rank by population?,"As of 2026, Oklahoma ranks 28th among U.S. states by population."
The Arsenal representative who held discussions with the Football Association regarding their support for the new league was David Dein.,irrelevant,,What sportswear company has a deal with the University of Kansas?,The University of Kansas (KU) has an exclusive footwear and apparel deal with Adidas.
Most churches and monasteries were destroyed during the German Peasants' War of 1525.,irrelevant,,Where is the Washington University School of Law ranked in the 2015 US News & World Report America's Best Graduate Schools?,"In the 2015 U.S. News & World Report Best Graduate Schools rankings (released in March 2014), the Washington University School of Law in St. Louis was ranked 18th in the nation."
The 3.7-inch HAA gun became the preferred solution in 1928.,irrelevant,,"Who was the author of the book, The Yong Mans Gleanings?","The author of the book The Yong Mans Gleanings, published in 1613, was the English writer and poet Richard Brathwaite. The book was also published under the name ""R. B. (Gent.)""."
"The rise in temperatures is expected to impact snowfall, snowpack, glaciation, and river runoff in the Alps.",irrelevant,,Which name did Madonna adopted as her confirmation name?,Madonna adopted the name Veronica as her confirmation name in 1966 upon receiving the sacrament in the Catholic Church.
"The famous school in Alexandria had taken on a more secular character, expanding its interests beyond just religious topics.",irrelevant,,What type of vehicles do Troopers operate?,"In 2026, State Troopers and highway patrol agencies primarily operate a mix of pursuit-rated SUVs, sedans, and pickup trucks designed for high-speed highway enforcement and multi-terrain versatility."
Chopin was 20 years old when he left Poland.,irrelevant,,Russian troops took over which provinces first?,"In the context of the ongoing Russo-Ukrainian War (2014–present), Russian troops took over the following provinces (oblasts) and territories in this chronological order:"
Pharmaceutical fraud affects both individuals and public and private insurance providers.,irrelevant,,The HDI in the 2007/2008 Human Development Report is for what year?,The Human Development Index (HDI) data in the 2007/2008 Human Development Report (titled Fighting climate change: Human solidarity in a divided world) refers to the year 2005.
"In Western Catalan, unstressed vowels reduce to five distinct sounds: /e ɛ/ merge to [e], /o ɔ/ merge to [o], and /a u i/ remain unchanged.",irrelevant,,"In contrast to genomics, genetics usually studies what?","In contrast to genomics, which examines the entire genome of an organism and its internal and environmental interactions, genetics primarily focuses on:"
Major and minor tonalities serve as means for managing dissonance and chromaticism in music.,irrelevant,,Which market in Melbourne remained strong during the Late-2000s financial crisis and resulted in historically high property prices and rent increases?,"The entire Australian property market, including Melbourne, remained strong during the Late-2000s financial crisis (GFC) and experienced historically high property price and rent increases, particularly after the initial shock. Melbourne experienced a price surge of almost 25 per cent in the year to April 2010."
The Gadsden Purchase was the name of the deal in which Arizona was bought.,irrelevant,,About how many years between World Cups?,"The FIFA World Cup is traditionally held every four years. This cycle allows sufficient time for qualification matches, host nation preparations, and other regional tournaments to take place."
Rabbis from the ghettos were forced to march through the city streets wearing ridiculous costumes.,irrelevant,,What percentage of the October 2003 vote was in favor of a recall?,"In the October 7, 2003, California gubernatorial recall election, 55.4% of voters voted in favor of the recall."
"Walter Camp is known as the ""Father of American football.""",irrelevant,,How can gas methane be used in exceptional set of conditions by methanotrophic bacteria?,"In 2026, research into methanotrophic bacteria highlights their remarkable ability to utilize methane as a sole carbon and energy source under diverse and extreme conditions that often defy standard biochemical expectations."
The first year of the Shamsi Hijri Calendar is based on the year of Prophet Muhammad's migration to Medina.,irrelevant,,What concerns are there regarding to human rights?,"In 2026, human rights concerns span a wide range of categories, from basic survival and bodily integrity to emerging threats from digital technology and environmental crises. Major international bodies and organizations like Human Rights Watch and the United Nations identify the following as critical issues:"
The Council of Ministers is appointed and supervised by the President.,irrelevant,,Which route was a central post in Kiev?,"The primary trade route for which Kiev was a central post was the ""route from the Varangians to the Greeks"". This major medieval trade artery connected Scandinavia and the Baltic Sea with the Byzantine Empire and the Black Sea via the Dnieper River system."
"In the 1960s, the life expectancy in Egypt was 44.8 years.",irrelevant,,What position is the gymnast when in the air?,"When in the air, a gymnast assumes various specific body positions, most commonly the tuck, pike, and layout (straight) shapes, which they use to control rotation speed and execute skills."
The United Nations called for Tuvalu to improve its water and sanitation systems.,irrelevant,,"What was once named the ""ugliest street in America"" by Life magazine?","The street once named the ""ugliest street in America"" by Life magazine was Speedway Boulevard in Tucson, Arizona."
"The local authorities were the ones who persuaded Valens to retract his order of exile, allowing Athanasius to return to Alexandria.",irrelevant,,In what ways was Howard similar to Paul Keating?,"While John Howard and Paul Keating were fierce political rivals, they shared several fundamental traits and experiences that defined their roles in Australian history:"
"The Hanseatic League was not exclusively German in any ethnic sense. Many towns that joined the league were outside the Holy Roman Empire, and some of them can only be loosely characterized as German. The Empire itself also had a multi-ethnic and multi-lingual structure, with various smaller ethnicities and languages used at different times, including Dutch, Italian, French, Czech, and Polish.",irrelevant,,These elements concern health related to reproduction and what else?,"The elements that concern health related to reproduction are also deeply interconnected with your overall physical, mental, and social well-being."
The Venus de Milo is a well-known work of Greek sculpture that belongs to the Hellenistic period.,irrelevant,,The word comic comes from the humorous pieces found where?,"The modern English word ""comic"" (referring to illustrated strips or books) comes from the largely humorous pieces found in early American newspapers."
"In the 2014 university ranking by Shanghai Jiaotong University, Utrecht University was ranked as the 57th best university globally.",irrelevant,,How can one prove their race in Burma ?,"In Burma (Myanmar), proving one's ""race"" or ethnic identity is a legal and administrative process primarily governed by the 1982 Citizenship Law, which links citizenship eligibility directly to belonging to recognized ""national races"" (taing-yin-tha)."
Haplogroup I2a2 was originally believed to have originated in the west Balkans.,irrelevant,,How many industry models are followed for the production process of poultry?,"In 2026, the poultry industry follows several distinct models categorized by business structure, production specialization, and housing systems."
The current that led to the cooling of Antarctica was the Antarctic Circumpolar Current.,irrelevant,,What can attempting to label members of the LGBT community cause?,"Attempting to label members of the LGBT community can cause a range of negative outcomes, primarily stemming from the use of stigmatizing language, stereotypes, and the erasure of individual identity [1]. These impacts affect mental health, social dynamics, and personal safety."
Tom Harkin was from Iowa.,irrelevant,,What rank does Greece hold for the condition of mothers and new born babies?,"In 2026, Greece continues to be recognized as one of the top-performing countries globally for the condition of mothers and newborn babies, particularly in terms of children's rights and health outcomes."
"The western half of the state became Hesse in 1247, following the extinction of the Ludowingian line and the War of the Thuringian Succession.",irrelevant,,What consumer advocate took over the Brown's case?,"The most prominent ""Brown's case"" in the context of consumer advocacy refers to the efforts of Erin Brockovich, who was instrumental in the lawsuit against Pacific Gas & Electric Company (PG&E) for groundwater contamination in Hinkley, California."
"Pope Paul VI was the one who described the Anglican Church as ""our beloved sister Church.""",irrelevant,,What two geographies did Frederick want for Prussia?,Frederick the Great wanted to acquire the two following geographies to consolidate the fragmented Prussian territories into a contiguous kingdom:
The company that was interested in purchasing a stake in the AFL was Platinum Equity.,irrelevant,,In what year was the Richmond street grid first developed?,The Richmond street grid was first developed in 1737.
"The headquarters of the Arab League are permanently located in Cairo, Egypt.",irrelevant,,What script was traditionally attributed to Liu Desheng?,"Liu Desheng (刘德昇), a calligrapher active during the late Eastern Han dynasty (c. 147–188 AD), is traditionally attributed with the creation of the Semi-cursive script (行书, Xingshu), often referred to as Running script."
Independents and swing voters are the non-party-affiliated voters that are crucial for a party to attract in elections.,irrelevant,,What type of storm is a major threat to Charleston in the summer and early fall?,"Hurricanes and tropical storms are the primary major threat to Charleston, South Carolina, during the summer and early fall."
"In the 2010 Global Competitiveness Report, Iran was ranked 69th out of 139 countries.",irrelevant,,What apartment store in Paris was closed in 2005? ,"The La Samaritaine department store in Paris was closed in 2005 for extensive renovations due to serious safety issues, primarily fire risks. It was not an ""apartment store"" in the sense of selling apartments, but a large, iconic department store that sold a wide variety of goods."
The sheriff who shot William Whitney Brazelton was Charles A. Shibell.,irrelevant,,How many weeks will the 2016 regular season last?,The 2016 NFL regular season lasted 17 weeks.
