answer,type,context,question
"The Freddie Mercury Tribute Concert had an attendance of 35,000 people.",contradiction,"On 20 April 1992, The Freddie Mercury Tribute Concert was held at London's Wembley Stadium to a 72,000-strong crowd. Performers, including Def Leppard, Robert Plant, Guns N' Roses, Elton John, David Bowie, George Michael, Annie Lennox, Seal, Extreme, and Metallica performed various Queen songs along with the three remaining Queen members (and Spike Edney.) The concert is listed in the Guinness Book of Records as ""The largest rock star benefit concert"", as it was televised to over 1.2 billion viewers worldwide, and raised over £20,000,000 for AIDS charities.",How many people attended the Freddie Mercury Tribute Concert?
head risks,contradiction,"Current Governor of the Reserve Bank of India Raghuram Rajan had predicted the crisis in 2005 when he became chief economist at the International Monetary Fund.In 2005, at a celebration honouring Alan Greenspan, who was about to retire as chairman of the US Federal Reserve, Rajan delivered a controversial paper that was critical of the financial sector. In that paper, ""Has Financial Development Made the World Riskier?"", Rajan ""argued that disaster might loom."" Rajan argued that financial sector managers were encouraged to ""take risks that generate severe adverse consequences with small probability but, in return, offer generous compensation the rest of the time. These risks are known as tail risks. But perhaps the most important concern is whether banks will be able to provide liquidity to financial markets so that if the tail risk does materialise, financial positions can be unwound and losses allocated so that the consequences to the real economy are minimised.""",What are risks called that generate severe adverse consequences with small probability but generous compensation the rest of the time?
"General William Lynn Roberts, the commander of the U.S. Korean Military Advisory Group (KMAG), had a great deal of confidence in the Republic of Korea Army (ROK Army) on the eve of the war.",irrelevant,"Tennessee is home to several Protestant denominations, such as the National Baptist Convention (headquartered in Nashville); the Church of God in Christ and the Cumberland Presbyterian Church (both headquartered in Memphis); the Church of God and The Church of God of Prophecy (both headquartered in Cleveland). The Free Will Baptist denomination is headquartered in Antioch; its main Bible college is in Nashville. The Southern Baptist Convention maintains its general headquarters in Nashville. Publishing houses of several denominations are located in Nashville.",Which Tennessee city contains the headquarters of the Church of God and The Church of God of Prophecy?
"Dark paint tends to absorb light, making the room appear smaller and more dim.",irrelevant,"A further example is the goby fish, which sometimes lives together with a shrimp. The shrimp digs and cleans up a burrow in the sand in which both the shrimp and the goby fish live. The shrimp is almost blind, leaving it vulnerable to predators when outside its burrow. In case of danger the goby fish touches the shrimp with its tail to warn it. When that happens both the shrimp and goby fish quickly retreat into the burrow. Different species of gobies (Elacatinus spp.) also exhibit mutualistic behavior through cleaning up ectoparasites in other fish.",What species does this shrimp have a relationship with?
The city aims to have the bicycle infrastructure in place by the year 2030.,irrelevant,"The First World War began in 1914 and lasted to the final Armistice in 1918. The Allied Powers, led by the British Empire, France, Russia until March 1918, Japan and the United States after 1917, defeated the Central Powers, led by the German Empire, Austro-Hungarian Empire and the Ottoman Empire. The war caused the disintegration of four empires—the Austro-Hungarian, German, Ottoman, and Russian ones—as well as radical change in the European and West Asian maps. The Allied powers before 1917 are referred to as the Triple Entente, and the Central Powers are referred to as the Triple Alliance.",How many Empires did the war cause destruction to?
modern German spelling,contradiction,"""Hanover"" is the traditional English spelling. The German spelling (with a double n) is becoming more popular in English; recent editions of encyclopedias prefer the German spelling, and the local government uses the German spelling on English websites. The English pronunciation /ˈhænəvər/, with stress on the first syllable and a reduced second syllable, is applied to both the German and English spellings, which is different from German pronunciation [haˈnoːfɐ], with stress on the second syllable and a long second vowel. The traditional English spelling is still used in historical contexts, especially when referring to the British House of Hanover.",Which spelling of Hanover is used in historical contexts?
customers with less demanding requirements,contradiction,"For customers with more demanding requirements (such as medium-to-large businesses, or other ISPs) can use higher-speed DSL (such as single-pair high-speed digital subscriber line), Ethernet, metropolitan Ethernet, gigabit Ethernet, Frame Relay, ISDN Primary Rate Interface, ATM (Asynchronous Transfer Mode) and synchronous optical networking (SONET).",what is high-speed dsl used for? 
The user has bookmarked a list of websites for easy access.,irrelevant,"According to the International Organization for Migration, Nigeria witnessed a dramatic increase in remittances sent home from overseas Nigerians, going from USD 2.3 billion in 2004 to 17.9 billion in 2007. The United States accounts for the largest portion of official remittances, followed by the United Kingdom, Italy, Canada, Spain and France. On the African continent, Egypt, Equatorial Guinea, Chad, Libya and South Africa are important source countries of remittance flows to Nigeria, while China is the biggest remittance-sending country in Asia.",How much money did overseas Nigerians send home in 2004?
"Gaddafi had no official role in the jamahiriya system and held no formal position of power, instead allowing the people to govern themselves through direct democracy.",contradiction,"In 1977, Gaddafi dissolved the Republic and created a new socialist state, the Jamahiriya (""state of the masses""). Officially adopting a symbolic role in governance, he retained power as military commander-in-chief and head of the Revolutionary Committees responsible for policing and suppressing opponents. Overseeing unsuccessful border conflicts with Egypt and Chad, Gaddafi's support for foreign militants and alleged responsibility for the Lockerbie bombing led to Libya's label of ""international pariah"". A particularly hostile relationship developed with the United States and United Kingdom, resulting in the 1986 U.S. bombing of Libya and United Nations-imposed economic sanctions. Rejecting his earlier ideological commitments, from 1999 Gaddafi encouraged economic privatization and sought rapprochement with Western nations, also embracing Pan-Africanism and helping to establish the African Union. Amid the Arab Spring, in 2011 an anti-Gaddafist uprising led by the National Transitional Council (NTC) broke out, resulting in the Libyan Civil War. NATO intervened militarily on the side of the NTC, bringing about the government's downfall. Retreating to Sirte, Gaddafi was captured and killed by NTC militants.",What was Gaddafi's role in jamahiriya?
A coreless DC motor is characterized by its ability to achieve rapid acceleration.,irrelevant,"In New York City in 1846, Alexander Turney Stewart established the ""Marble Palace"" on Broadway, between Chambers and Reade streets. He offered European retail merchandise at fixed prices on a variety of dry goods, and advertised a policy of providing ""free entrance"" to all potential customers. Though it was clad in white marble to look like a Renaissance palazzo, the building's cast iron construction permitted large plate glass windows that permitted major seasonal displays, especially in the Christmas shopping season. In 1862, Stewart built a new store on a full city block with eight floors and nineteen departments of dress goods and furnishing materials, carpets, glass and china, toys and sports equipment, ranged around a central glass-covered court. His innovations included buying from manufacturers for cash and in large quantities, keeping his markup small and prices low, truthful presentation of merchandise, the one-price policy (so there was no haggling), simple merchandise returns and cash refund policy, selling for cash and not credit, buyers who searched worldwide for quality merchandise, departmentalization, vertical and horizontal integration, volume sales, and free services for customers such as waiting rooms and free delivery of purchases. His innovations were quickly copied by other department stores.",What policy did the Marble Palace introduce? 
"65,432 crores",contradiction,"The Government of National Capital Territory of Delhi does not release any economic figures specifically for New Delhi but publishes an official economic report on the whole of Delhi annually. According to the Economic Survey of Delhi, the metropolis has a net State Domestic Product (SDP) of Rs. 83,085 crores (for the year 2004–05) and a per capita income of Rs. 53,976($1,200). In the year 2008–09 New Delhi had a Per Capita Income of Rs.1,16,886 ($2,595).It grew by 16.2% to reach Rs.1,35,814 ($3,018) in 2009–10 fiscal. New Delhi's Per Capita GDP (at PPP) was at $6,860 during 2009–10 fiscal, making it one of the richest cities in India. The tertiary sector contributes 78.4% of Delhi's gross SDP followed by secondary and primary sectors with 20.2% and 1.4% contribution respectively.",What was the 2004-05 State Domestic Product of Delhi?
"In 2003, the situation in Darfur was declared an act of genocide by then U.S. Secretary of State Colin Powell.",irrelevant,"Situated in the southern part of Telangana in southeastern India, Hyderabad is 1,566 kilometres (973 mi) south of Delhi, 699 kilometres (434 mi) southeast of Mumbai, and 570 kilometres (350 mi) north of Bangalore by road. It lies on the banks of the Musi River, in the northern part of the Deccan Plateau. Greater Hyderabad covers 650 km2 (250 sq mi), making it one of the largest metropolitan areas in India. With an average altitude of 542 metres (1,778 ft), Hyderabad lies on predominantly sloping terrain of grey and pink granite, dotted with small hills, the highest being Banjara Hills at 672 metres (2,205 ft). The city has numerous lakes referred to as sagar, meaning ""sea"". Examples include artificial lakes created by dams on the Musi, such as Hussain Sagar (built in 1562 near the city centre), Osman Sagar and Himayat Sagar. As of 1996, the city had 140 lakes and 834 water tanks (ponds).",When was Hussain Sagar lake built?
"After parting ways with Capitol, Queen signed a new contract with Hollywood Records, a subsidiary of Disney, which has remained the group's music catalogue owner in the United States and Canada.",irrelevant,"Solar distillation can be used to make saline or brackish water potable. The first recorded instance of this was by 16th-century Arab alchemists. A large-scale solar distillation project was first constructed in 1872 in the Chilean mining town of Las Salinas. The plant, which had solar collection area of 4,700 m2 (51,000 sq ft), could produce up to 22,700 L (5,000 imp gal; 6,000 US gal) per day and operate for 40 years. Individual still designs include single-slope, double-slope (or greenhouse type), vertical, conical, inverted absorber, multi-wick, and multiple effect. These stills can operate in passive, active, or hybrid modes. Double-slope stills are the most economical for decentralized domestic purposes, while active multiple effect units are more suitable for large-scale applications.",What is used to make saline or brackish water drinkable?
The Lombardi mandolin covered a range of three octaves.,irrelevant,"In response to the demonstrations, the Chinese government attempted to calm the situation, possibly fearing the protests may spiral out of control as has happened in recent years, including the anti-Japanese protests in 2005. State media and commentaries began to call for calm, such as an editorial in the People's Daily which urged Chinese people to ""express [their] patriotic enthusiasm calmly and rationally, and express patriotic aspiration in an orderly and legal manner"". The government also began to patrol and censor the internet forums such as Sohu.com, with comments related to the Carrefour boycott removed. In the days prior to the planned boycott, evidence of efforts by Chinese authorities to choke the mass boycott's efforts online became even more evident, including barring searches of words related to the French protests, but protests broke out nonetheless in front of Carrefour's stores at Beijing, Changsha, Fuzhou and Shenyang on May 1.","The Chinese government tried to tamper the boycott, trying to avoid a similar outcome to which protests in 2005?"
Middletown Avenue is the northeast avenue in New Haven that is signed as Route 17.,irrelevant,"The League of American Bicyclists gave Tucson a gold rating for bicycle friendliness in late April 2007. Tucson hosts the largest perimeter cycling event in the United States. The ride called ""El Tour de Tucson"" happens in November on the Saturday before Thanksgiving. El Tour de Tucson produced and promoted by Perimeter Bicycling has as many as 10,000 participants from all over the world, annually. Tucson is one of only nine cities in the U.S. to receive a gold rating or higher for cycling friendliness from the League of American Bicyclists. The city is known for its winter cycling opportunities. Both road and mountain biking are popular in and around Tucson with trail areas including Starr Pass and Fantasy Island.",When does El Tour de Tucson happen?
The six employees were found dead in the restaurant's freezer in 1978.,irrelevant,"Traditional willow growing and weaving (such as basket weaving) is not as extensive as it used to be but is still carried out on the Somerset Levels and is commemorated at the Willows and Wetlands Visitor Centre. Fragments of willow basket were found near the Glastonbury Lake Village, and it was also used in the construction of several Iron Age causeways. The willow was harvested using a traditional method of pollarding, where a tree would be cut back to the main stem. During the 1930s more than 3,600 hectares (8,900 acres) of willow were being grown commercially on the Levels. Largely due to the displacement of baskets with plastic bags and cardboard boxes, the industry has severely declined since the 1950s. By the end of the 20th century only about 140 hectares (350 acres) were grown commercially, near the villages of Burrowbridge, Westonzoyland and North Curry. The Somerset Levels is now the only area in the UK where basket willow is grown commercially.",What did plastic bags result in 
decline,contradiction,"The bursting of the U.S. (United States) housing bubble, which peaked in 2004, caused the values of securities tied to U.S. real estate pricing to plummet, damaging financial institutions globally. The financial crisis was triggered by a complex interplay of policies that encouraged home ownership, providing easier access to loans for subprime borrowers, overvaluation of bundled subprime mortgages based on the theory that housing prices would continue to escalate, questionable trading practices on behalf of both buyers and sellers, compensation structures that prioritize short-term deal flow over long-term value creation, and a lack of adequate capital holdings from banks and insurance companies to back the financial commitments they were making. Questions regarding bank solvency, declines in credit availability and damaged investor confidence had an impact on global stock markets, where securities suffered large losses during 2008 and early 2009. Economies worldwide slowed during this period, as credit tightened and international trade declined. Governments and central banks responded with unprecedented fiscal stimulus, monetary policy expansion and institutional bailouts. In the U.S., Congress passed the American Recovery and Reinvestment Act of 2009.",Overvaluation of bundled subprime mortgages was based on the theory that housing prices would continue to do this?
"The monument dedicated to the person traditionally regarded as discovering America, Christopher Columbus, is located near Byrd Park.",irrelevant,"IBM also holds the SmartCamp program globally. The program searches for fresh start-up companies that IBM can partner with to solve world problems. IBM holds 17 SmartCamp events around the world. Since July 2011, IBM has partnered with Pennies, the electronic charity box, and produced a software solution for IBM retail customers that provides an easy way to donate money when paying in-store by credit or debit card. Customers donate just a few pence (1p-99p) a time and every donation goes to UK charities.",How many SmartCamp events does IBM hold worldwide?
Pleasure,contradiction,"Pain is usually transitory, lasting only until the noxious stimulus is removed or the underlying damage or pathology has healed, but some painful conditions, such as rheumatoid arthritis, peripheral neuropathy, cancer and idiopathic pain, may persist for years. Pain that lasts a long time is called chronic or persistent, and pain that resolves quickly is called acute. Traditionally, the distinction between acute and chronic pain has relied upon an arbitrary interval of time from onset; the two most commonly used markers being 3 months and 6 months since the onset of pain, though some theorists and researchers have placed the transition from acute to chronic pain at 12 months.:93 Others apply acute to pain that lasts less than 30 days, chronic to pain of more than six months' duration, and subacute to pain that lasts from one to six months. A popular alternative definition of chronic pain, involving no arbitrarily fixed durations, is ""pain that extends beyond the expected period of healing"". Chronic pain may be classified as cancer pain or else as benign.",What is usually temporary?
Discrimination is often paired with inclusive and open-minded attitudes.,contradiction,"Socioeconomic factors, in combination with early but enduring views of race, have led to considerable suffering within disadvantaged racial groups. Racial discrimination often coincides with racist mindsets, whereby the individuals and ideologies of one group come to perceive the members of an outgroup as both racially defined and morally inferior. As a result, racial groups possessing relatively little power often find themselves excluded or oppressed, while hegemonic individuals and institutions are charged with holding racist attitudes. Racism has led to many instances of tragedy, including slavery and genocide.",What is discrimination often paired with?
"The main source of the historical study of Cubism was based on the book Der Weg zum Kubismus, written by Daniel-Henry Kahnweiler.",irrelevant,"In game play, players attempt to create goal-scoring opportunities through individual control of the ball, such as by dribbling, passing the ball to a team-mate, and by taking shots at the goal, which is guarded by the opposing goalkeeper. Opposing players may try to regain control of the ball by intercepting a pass or through tackling the opponent in possession of the ball; however, physical contact between opponents is restricted. Football is generally a free-flowing game, with play stopping only when the ball has left the field of play or when play is stopped by the referee for an infringement of the rules. After a stoppage, play recommences with a specified restart.",Who guards the goal?
"SUNY Maritime College is located in Throggs Neck, New York.",contradiction,"The peninsular borough's maritime heritage is acknowledged in several ways.The City Island Historical Society and Nautical Museum occupies a former public school designed by the New York City school system's turn-of-the-last-century master architect C. B. J. Snyder. The state's Maritime College in Fort Schuyler (on the southeastern shore) houses the Maritime Industry Museum. In addition, the Harlem River is reemerging as ""Scullers' Row"" due in large part to the efforts of the Bronx River Restoration Project, a joint public-private endeavor of the city's parks department. Canoeing and kayaking on the borough's namesake river have been promoted by the Bronx River Alliance. The river is also straddled by the New York Botanical Gardens, its neighbor, the Bronx Zoo, and a little further south, on the west shore, Bronx River Art Center.",Where is the NY Maritime College?
"In soil, bacteria convert nitrogen gas into nitrogenous compounds, which provides an easily absorbable form of nitrogen for many plants that cannot fix nitrogen themselves.",irrelevant,"Mac OS continued to evolve up to version 9.2.2, including retrofits such as the addition of a nanokernel and support for Multiprocessing Services 2.0 in Mac OS 8.6, though its dated architecture made replacement necessary. Initially developed in the Pascal programming language, it was substantially rewritten in C++ for System 7. From its beginnings on an 8 MHz machine with 128 KB of RAM, it had grown to support Apple's latest 1 GHz G4-equipped Macs. Since its architecture was laid down, features that were already common on Apple's competition, like preemptive multitasking and protected memory, had become feasible on the kind of hardware Apple manufactured. As such, Apple introduced Mac OS X, a fully overhauled Unix-based successor to Mac OS 9. OS X uses Darwin, XNU, and Mach as foundations, and is based on NeXTSTEP. It was released to the public in September 2000, as the Mac OS X Public Beta, featuring a revamped user interface called ""Aqua"". At US$29.99, it allowed adventurous Mac users to sample Apple's new operating system and provide feedback for the actual release. The initial version of Mac OS X, 10.0 ""Cheetah"", was released on March 24, 2001. Older Mac OS applications could still run under early Mac OS X versions, using an environment called ""Classic"". Subsequent releases of Mac OS X included 10.1 ""Puma"" (2001), 10.2 ""Jaguar"" (2002), 10.3 ""Panther"" (2003) and 10.4 ""Tiger"" (2005).",What was the fuly overhauled successor to Mac OS 9?
Slingshot is a water vapor distillation system.,irrelevant,"Following Syria's secession, Nasser grew concerned with Amer's inability to train and modernize the army, and with the state within a state Amer had created in the military command and intelligence apparatus. In late 1961, Nasser established the Presidential Council and decreed it the authority to approve all senior military appointments, instead of leaving this responsibility solely to Amer. Moreover, he instructed that the primary criterion for promotion should be merit and not personal loyalties. Nasser retracted the initiative after Amer's allies in the officers corps threatened to mobilize against him.",What military entity did Nasser create in 1961?
"The major military operations concluded on October 25, 1922.",irrelevant,"Architecture (Latin architectura, from the Greek ἀρχιτέκτων arkhitekton ""architect"", from ἀρχι- ""chief"" and τέκτων ""builder"") is both the process and the product of planning, designing, and constructing buildings and other physical structures. Architectural works, in the material form of buildings, are often perceived as cultural symbols and as works of art. Historical civilizations are often identified with their surviving architectural achievements.",Architecture involves the creation of what?
"at 09:30 CST, June 3",contradiction,"The National Disaster Relief Commission initiated a ""Level II emergency contingency plan"", which covers the most serious class of natural disasters. The plan rose to Level I at 22:15 CST, May 12.",When did the plan rise to Level I?
Utrecht's waterways serve as the training grounds for numerous rowing clubs.,irrelevant,"Institutes in Hyderabad include the National Institute of Rural Development, the Indian School of Business, the Institute of Public Enterprise, the Administrative Staff College of India and the Sardar Vallabhbhai Patel National Police Academy. Technical and engineering schools include the International Institute of Information Technology, Hyderabad (IIITH), Birla Institute of Technology and Science, Pilani – Hyderabad (BITS Hyderabad) and Indian Institute of Technology, Hyderabad (IIT-H) as well as agricultural engineering institutes such as the International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and the Acharya N. G. Ranga Agricultural University. Hyderabad also has schools of fashion design including Raffles Millennium International, NIFT Hyderabad and Wigan and Leigh College. The National Institute of Design, Hyderabad (NID-H), will offer undergraduate and postgraduate courses from 2015.",What type of is Wigan and Leigh College?
August 1945,contradiction,"In Article 3 of the Treaty of San Francisco between the Allied Powers and Japan, which came into force in April 1952, the U.S. put the outlying islands of the Ryukyus, including the island of Okinawa—home to over 1 million Okinawans related to the Japanese—and the Bonin Islands, the Volcano Islands, and Iwo Jima into U.S. trusteeship. All these trusteeships were slowly returned to Japanese rule. Okinawa was returned on May 15, 1972, but the U.S. stations troops in the island's bases as a defense for Japan.",When did Artcle 3 of the Treaty of San Francisco come into effect?
15 August 1965,contradiction,"The Cathedral of Brasília in the capital of the Federative Republic of Brazil, is an expression of the architect Oscar Niemeyer. This concrete-framed hyperboloid structure, seems with its glass roof reaching up, open, to the heavens. On 31 May 1970, the Cathedral’s structure was finished, and only the 70 m (229.66 ft) diameter of the circular area were visible. Niemeyer's project of Cathedral of Brasília is based in the hyperboloid of revolution which sections are asymmetric. The hyperboloid structure itself is a result of 16 identical assembled concrete columns. These columns, having hyperbolic section and weighing 90 t, represent two hands moving upwards to heaven. The Cathedral was dedicated on 31 May 1970.",When was the Cathedral of Brasília dedicated?
The Festival of Fools,contradiction,"While medieval pageants and festivals such as Corpus Christi were church-sanctioned, Carnival was also a manifestation of medieval folk culture. Many local Carnival customs are claimed to derive from local pre-Christian rituals, such as elaborate rites involving masked figures in the Swabian–Alemannic Fastnacht. However, evidence is insufficient to establish a direct origin from Saturnalia or other ancient festivals. No complete accounts of Saturnalia survive and the shared features of feasting, role reversals, temporary social equality, masks and permitted rule-breaking do not necessarily constitute a coherent festival or link these festivals. These similarities may represent a reservoir of cultural resources that can embody multiple meanings and functions. For example, Easter begins with the resurrection of Jesus, followed by a liminal period and ends with rebirth. Carnival reverses this as King Carnival comes to life, a liminal period follows before his death. Both feasts are calculated by the lunar calendar. Both Jesus and King Carnival may be seen as expiatory figures who make a gift to the people with their deaths. In the case of Jesus, the gift is eternal life in heaven and in the case of King Carnival, the acknowledgement that death is a necessary part of the cycle of life. Besides Christian anti-Judaism, the commonalities between church and Carnival rituals and imagery suggest a common root. Christ's passion is itself grotesque: Since early Christianity Christ is figured as the victim of summary judgement, is tortured and executed by Romans before a Jewish mob (""His blood is on us and on our children!"" Matthew 27:24–25). Holy Week processions in Spain include crowds who vociferously insult the figure of Jesus. Irreverence, parody, degradation and laughter at a tragicomic effigy God can be seen as intensifications of the sacred order. In 1466, the Catholic Church under Pope Paul II revieved customs of the Saturnalia carnival: Jews were forced to race naked through the streets of the city of Rome. “Before they were to run, the Jews were richly fed, so as to make the race more difficult for them and at the same time more amusing for spectators. They ran… amid Rome’s taunting shrieks and peals of laughter, while the Holy Father stood upon a richly ornamented balcony and laughed heartily”, an eyewitness reports.",What festival did no complete accounts describing survive?
18th and 19th centuries,contradiction,"During the Age of Discovery in the 15th and 16th centuries, Portugal and Spain pioneered European exploration of the globe, and in the process established large overseas empires. Envious of the great wealth these empires generated, England, France, and the Netherlands began to establish colonies and trade networks of their own in the Americas and Asia. A series of wars in the 17th and 18th centuries with the Netherlands and France left England (and then, following union between England and Scotland in 1707, Great Britain) the dominant colonial power in North America and India.",In which centuries was the Age of Discovery?
The oxide layer on an aluminum anode remains stable in either a neutral or alkaline electrolyte.,irrelevant,"When anti-German demonstrations erupted in Prague, Czechoslovakia, the Comintern ordered the Czech Communist Party to employ all of its strength to paralyze ""chauvinist elements."" Moscow soon forced the Communist Parties of France and Great Britain to adopt an anti-war position. On 7 September, Stalin called Georgi Dimitrov,[clarification needed] and the latter sketched a new Comintern line on the war. The new line—which stated that the war was unjust and imperialist—was approved by the secretariat of the Communist International on 9 September. Thus, the various western Communist parties now had to oppose the war, and to vote against war credits. Although the French Communists had unanimously voted in Parliament for war credits on 2 September and on 19 September declared their ""unshakeable will"" to defend the country, on 27 September the Comintern formally instructed the party to condemn the war as imperialist. By 1 October the French Communists advocated listening to German peace proposals, and Communist leader Maurice Thorez deserted from the French Army on 4 October and fled to Russia. Other Communists also deserted from the army.",The western communists claimed the war was what?
Scarab beetles were considered symbolic in the ancient world.,irrelevant,"To encourage further discovery, researchers and policymakers are promoting new economic models of vaccine development, including prizes, tax incentives, and advance market commitments. A number of groups, including the Stop TB Partnership, the South African Tuberculosis Vaccine Initiative, and the Aeras Global TB Vaccine Foundation, are involved with research. Among these, the Aeras Global TB Vaccine Foundation received a gift of more than $280 million (US) from the Bill and Melinda Gates Foundation to develop and license an improved vaccine against tuberculosis for use in high burden countries.",What group with the initials SATVI is researching TB vaccines?
High to ultra-high vacuums remove the obstruction of air.,irrelevant,"The expression of genes encoded in DNA begins by transcribing the gene into RNA, a second type of nucleic acid that is very similar to DNA, but whose monomers contain the sugar ribose rather than deoxyribose. RNA also contains the base uracil in place of thymine. RNA molecules are less stable than DNA and are typically single-stranded. Genes that encode proteins are composed of a series of three-nucleotide sequences called codons, which serve as the ""words"" in the genetic ""language"". The genetic code specifies the correspondence during protein translation between codons and amino acids. The genetic code is nearly the same for all known organisms.:4.1",What specifies the correspondence between codons and amino acids during protein translation?
He received the Balzan Prize at the Louvre Museum.,contradiction,"On 10 May 1963, John XXIII received the Balzan Prize in private at the Vatican but deflected achievements of himself to the five popes of his lifetime, Pope Leo XIII to Pius XII. On 11 May, the Italian President Antonio Segni officially awarded Pope John XXIII with the Balzan Prize for his engagement for peace. While in the car en route to the official ceremony, he suffered great stomach pains but insisted on meeting with Segni to receive the award in the Quirinal Palace, refusing to do so within the Vatican. He stated that it would have been an insult to honour a pontiff on the remains of the crucified Saint Peter. It was the pope's last public appearance.",Where did he receive the Balzan Prize?
Maria Montez was the actress who starred in Arabian Nights.,irrelevant,"A situated perspective on emotion, developed by Paul E. Griffiths and Andrea Scarantino , emphasizes the importance of external factors in the development and communication of emotion, drawing upon the situationism approach in psychology. This theory is markedly different from both cognitivist and neo-Jamesian theories of emotion, both of which see emotion as a purely internal process, with the environment only acting as a stimulus to the emotion. In contrast, a situationist perspective on emotion views emotion as the product of an organism investigating its environment, and observing the responses of other organisms. Emotion stimulates the evolution of social relationships, acting as a signal to mediate the behavior of other organisms. In some contexts, the expression of emotion (both voluntary and involuntary) could be seen as strategic moves in the transactions between different organisms. The situated perspective on emotion states that conceptual thought is not an inherent part of emotion, since emotion is an action-oriented form of skillful engagement with the world. Griffiths and Scarantino suggested that this perspective on emotion could be helpful in understanding phobias, as well as the emotions of infants and animals.",What factors did the situated perspective believe to be most important?
Elisha Gray used water as the medium to transmit sound in his telephone design.,irrelevant,"The book value of the company nearly doubled from $8.19 a share in 1999 to $15 a share in 2009. Revenues grew sixfold from 1999's $6 billion to almost $36 billion in 2009. Net profit margin rose from 4.2% in 1999 to 8.4% in 2009, with operating margins improving 31 percent and return on equity doubling to 6.7 percent in the same time span. Between 1999 and 2009, return on capital nearly tripled to 7 percent. Comcast reported first quarter 2012 profit increases of 30% due to increase in high-speed internet customers. In February 2014, Comcast generated 1.1 billion in revenue during the first quarter due to the Sochi Olympics,.",Comcast's revenues in 2009 were how much?
"In the United States, there are typically four critical steps involved in the administration of capital punishment.",irrelevant,"Treaties sometimes include provisions for self-termination, meaning that the treaty is automatically terminated if certain defined conditions are met. Some treaties are intended by the parties to be only temporarily binding and are set to expire on a given date. Other treaties may self-terminate if the treaty is meant to exist only under certain conditions.[citation needed]","In addition to passing an expiration date, what might cause a treaty to self-terminate?"
The clownfish and anemone have a mutual symbiotic relationship.,irrelevant,"Carnival was introduced by Portuguese settlers. The celebration is celebrated on each of the archipelago's nine inhabited islands. In Mindelo, São Vicente groups challenge each other for a yearly prize. It has imported various Brazilian carnival traditions. The celebration in SãoNicolau is more traditional, where established groups parade through the Ribeira Brava, gathering in the town square, although it has adopted drums, floats and costumes from Brazil. In São Nicolau three groups, Copa Cabana, Estrela Azul and Brilho Da Zona constructs a painted float using fire, newspaper for the mold, iron and steel to for structure. Carnival São Nicolau is celebrated over three days: dawn Saturday, Sunday afternoon, and Tuesday.",What do groups in Mindelo challenge each other for?
Wang Xianzhi was the son of Wang Zishi.,irrelevant,"Real estate is a major force in the city's economy, as the total value of all New York City property was assessed at US$914.8 billion for the 2015 fiscal year. The Time Warner Center is the property with the highest-listed market value in the city, at US$1.1 billion in 2006. New York City is home to some of the nation's—and the world's—most valuable real estate. 450 Park Avenue was sold on July 2, 2007 for US$510 million, about $1,589 per square foot ($17,104/m²), breaking the barely month-old record for an American office building of $1,476 per square foot ($15,887/m²) set in the June 2007 sale of 660 Madison Avenue. According to Forbes, in 2014, Manhattan was home to six of the top ten zip codes in the United States by median housing price.",The previous record beaten by Park Avenue was for what real estate?
The historian Pieter Geyl made a comparison between Napoleon and Hitler in 1947.,irrelevant,"Western political philosophy originates in the philosophy of ancient Greece, where political philosophy dates back to at least Plato. Ancient Greece was dominated by city-states, which experimented with various forms of political organization, grouped by Plato into four categories: timocracy, tyranny, democracy and oligarchy. One of the first, extremely important classical works of political philosophy is Plato's Republic, which was followed by Aristotle's Nichomachean Ethics and Politics. Roman political philosophy was influenced by the Stoics, including the Roman statesman Cicero.",Ancient Greece was dominated by what?
Local newscasts are typically scheduled from 5:00 p.m. to 6:30 p.m. on CBC stations in most markets.,irrelevant,"Hunting along migration routes threatens some bird species. The populations of Siberian cranes (Leucogeranus leucogeranus) that wintered in India declined due to hunting along the route, particularly in Afghanistan and Central Asia. Birds were last seen in their favourite wintering grounds in Keoladeo National Park in 2002. Structures such as power lines, wind farms and offshore oil-rigs have also been known to affect migratory birds. Other migration hazards include pollution, storms, wildfires, and habitat destruction along migration routes, denying migrants food at stopover points. For example, in the East Asian–Australasian Flyway, up to 65% of key intertidal habitat at the Yellow Sea migration bottleneck has been destroyed since the 1950s.",When were birds last seen in Keoladeo National Park?
The Muslim anti-Masons are concerned that the Freemasons are working to protect and promote the interests of Jews worldwide.,irrelevant,"Scholars disagree over the effects of social status on racial classifications in Brazil. It is generally believed that achieving upward mobility and education results in individuals being classified as a category of lighter skin. The popular claim is that in Brazil, poor whites are considered black and wealthy blacks are considered white. Some scholars disagree, arguing that ""whitening"" of one's social status may be open to people of mixed race, a large part of the population known as pardo, but a person perceived as preto (black) will continue to be classified as black regardless of wealth or social status.",What does Preto mean?
