answer,type,context,question,gpt
"Kerry was involved in the ""Winter Soldier Investigation"" conducted by the Vietnam Veterans Against the War (VVAW).",factual,"After returning to the United States, Kerry joined the Vietnam Veterans Against the War (VVAW). Then numbering about 20,000, VVAW was considered by some (including the administration of President Richard Nixon) to be an effective, if controversial, component of the antiwar movement. Kerry participated in the ""Winter Soldier Investigation"" conducted by VVAW of U.S. atrocities in Vietnam, and he appears in a film by that name that documents the investigation. According to Nixon Secretary of Defense Melvin Laird, ""I didn't approve of what he did, but I understood the protesters quite well"", and he declined two requests from the Navy to court martial Reserve Lieutenant Kerry over his antiwar activity.",What VVAW investigation was Kerry involved in?,"Kerry was involved in the ""Winter Soldier Investigation"" conducted by VVAW of U.S. atrocities in Vietnam."
The Dean of the College of Cardinals is the one who receives the bishopric of Ostia.,factual,,Who receives the hishopric of Ostia?,The bishopric of Ostia is traditionally given to the Dean of the College of Cardinals in the Roman Catholic Church.
The stock exchange in the Netherlands was founded in the year 1602.,factual,"The free trade spirit of the time received a strong augmentation through the development of a modern, effective stock market in the Low Countries. The Netherlands has the oldest stock exchange in the world, founded in 1602 by the Dutch East India Company. While Rotterdam has the oldest bourse in the Netherlands, the world's first stock exchange – that of the Dutch East-India Company – went public in six different cities. Later, a court ruled that the company had to reside legally in a single city, so Amsterdam is recognized as the oldest such institution based on modern trading principles. While the banking system evolved in the Low Countries, it was quickly incorporated by the well-connected English, stimulating English economic output.",When was the stock exchange founded in the Netherlands?,The stock exchange in the Netherlands was founded in 1602.
The CBC moved The National in certain time zones to simulcast the American version of The One during the summer months.,factual,"Many were surprised by these changes to the CBC schedule, which were apparently intended to attract a younger audience to the network; some suggested they might alienate the core CBC viewership. Another note of criticism was made when the network decided to move The National in some time zones to simulcast the American version of The One over the summer. This later became a moot point, as The One was taken off the air after two weeks after extremely low American and Canadian ratings, and the newscast resumed its regular schedule.",Why did CBC move The National in some areas?,CBC moved The National in some time zones to simulcast the American version of The One over the summer.
Seniors crush clay pipes to celebrate their graduation.,factual,"Yale seniors at graduation smash clay pipes underfoot to symbolize passage from their ""bright college years,"" though in recent history the pipes have been replaced with ""bubble pipes"". (""Bright College Years,"" the University's alma mater, was penned in 1881 by Henry Durand, Class of 1881, to the tune of Die Wacht am Rhein.) Yale's student tour guides tell visitors that students consider it good luck to rub the toe of the statue of Theodore Dwight Woolsey on Old Campus. Actual students rarely do so. In the second half of the 20th century Bladderball, a campus-wide game played with a large inflatable ball, became a popular tradition but was banned by administration due to safety concerns. In spite of administration opposition, students revived the game in 2009, 2011, and 2014, but its future remains uncertain.",What do seniors crush to celebrate graduation?,"Seniors crush clay pipes (or in recent history, ""bubble pipes"") to celebrate graduation."
Radio Hargeisa,contradiction,"The northeastern Puntland region has around six private radio stations, including Radio Garowe, Radio Daljir, Radio Codka-Nabbada and Radio Codka-Mudug. Radio Gaalkacyo, formerly known as Radio Free Somalia, operates from Galkayo in the north-central Mudug province. Additionally, the Somaliland region in the northwest has one government-operated radio station.",What is the former name of Radio Gaalkacyo?,The former name of Radio Gaalkacyo is Radio Free Somalia.
There are a total of fourteen professional football clubs based in London.,factual,"London's most popular sport is football and it has fourteen League football clubs, including five in the Premier League: Arsenal, Chelsea, Crystal Palace, Tottenham Hotspur, and West Ham United. Among other professional teams based in London include Fulham, Queens Park Rangers, Millwall and Charlton Athletic. In May 2012, Chelsea became the first London club to win the UEFA Champions League. Aside from Arsenal, Chelsea and Tottenham, none of the other London clubs have ever won the national league title.",How many professional football clubs call London their home?,London is home to fourteen League football clubs.
The towers located at 1601 and 1619 Third Avenue are known as Ruppert Towers.,factual,"90th Street is split into two segments. The first segment, West 90th Street begins at Riverside Drive and ends at Central Park West or West Drive, when it is open, in Central Park on the Upper West Side. The second segment of East 90th Street begins at East Drive, at Engineers Gate of Central Park. When East Drive is closed, East 90th Street begins at Fifth Avenue on the Upper East Side and curves to the right at the FDR Drive becoming East End Avenue. Our Lady of Good Counsel Church, is located on East 90th Street between Third Avenue and Second Avenue, across the street from Ruppert Towers (1601 and 1619 Third Avenue) and Ruppert Park. Asphalt Green, which is located on East 90th Street between York Avenue and East End Avenue.",Which towers are located at 1601 and 1619 Third Avenue?,Ruppert Towers are located at 1601 and 1619 Third Avenue.
"In 2009, it was Brian May who wrote a letter to fans addressing the possibility of Queen touring in 2010.",factual,"On 30 October 2009, May wrote a fanclub letter on his website stating that Queen had no intentions to tour in 2010 but that there was a possibility of a performance. He was quoted as saying, ""The greatest debate, though, is always about when we will next play together as Queen. At the moment, in spite of the many rumours that are out there, we do not have plans to tour in 2010. The good news, though, is that Roger and I have a much closer mutual understanding these days—privately and professionally ... and all ideas are carefully considered. Music is never far away from us. As I write, there is an important one-off performance on offer, in the USA, and it remains to be decided whether we will take up this particular challenge. Every day, doors seem to open, and every day, we interact, perhaps more than ever before, with the world outside. It is a time of exciting transition in Rock music and in 'The Business'. It's good that the pulse still beats"". On 15 November 2009, May and Taylor performed ""Bohemian Rhapsody"" live on the British TV show The X Factor alongside the finalists.",Which member of Queen wrote a letter to fans in 2009 regarding touring for 2010?,Brian May wrote a fanclub letter in 2009 regarding Queen's touring plans for 2010.
"Many insects can perceive not only visible light and ultraviolet, but also infrared light.",factual,,"Many insects are able to see visible light, ultraviolet, and what other kind of light?","Many insects are able to see visible light, ultraviolet light, and polarized light."
The annexation of Alsace by France took place in the 17th century.,factual,"From the annexation of Alsace by France in the 17th century and the language policy of the French Revolution up to 1870, knowledge of French in Alsace increased considerably. With the education reforms of the 19th century, the middle classes began to speak and write French well. The French language never really managed, however, to win over the masses, the vast majority of whom continued to speak their German dialects and write in German (which we would now call ""standard German"").[citation needed]",Around when did the Annexation of Alsace occur?,The annexation of Alsace by France occurred in the 17th century.
"During the Han era, astronomers believed that the Sun was spherical in shape.",factual,"Han-era astronomers adopted a geocentric model of the universe, theorizing that it was shaped like a sphere surrounding the earth in the center. They assumed that the Sun, Moon, and planets were spherical and not disc-shaped. They also thought that the illumination of the Moon and planets was caused by sunlight, that lunar eclipses occurred when the Earth obstructed sunlight falling onto the Moon, and that a solar eclipse occurred when the Moon obstructed sunlight from reaching the Earth. Although others disagreed with his model, Wang Chong accurately described the water cycle of the evaporation of water into clouds.",What did astronomers believe the shape of the Sun to be during this era?,Astronomers believed the Sun to be spherical during the Han era.
Adele tied Beyoncé's record for the most Grammy awards won by a female artist in one night in 2012.,factual,"Beyoncé has won 20 Grammy Awards, both as a solo artist and member of Destiny's Child, making her the second most honored female artist by the Grammys, behind Alison Krauss and the most nominated woman in Grammy Award history with 52 nominations. ""Single Ladies (Put a Ring on It)"" won Song of the Year in 2010 while ""Say My Name"" and ""Crazy in Love"" had previously won Best R&B Song. Dangerously in Love, B'Day and I Am... Sasha Fierce have all won Best Contemporary R&B Album. Beyoncé set the record for the most Grammy awards won by a female artist in one night in 2010 when she won six awards, breaking the tie she previously held with Alicia Keys, Norah Jones, Alison Krauss, and Amy Winehouse, with Adele equaling this in 2012. Following her role in Dreamgirls she was nominated for Best Original Song for ""Listen"" and Best Actress at the Golden Globe Awards, and Outstanding Actress in a Motion Picture at the NAACP Image Awards. Beyoncé won two awards at the Broadcast Film Critics Association Awards 2006; Best Song for ""Listen"" and Best Original Soundtrack for Dreamgirls: Music from the Motion Picture.",Who tied her record for most Grammies won in one night in 2012?,Adele tied Beyoncé's record for most Grammy awards won in one night in 2012.
Nasser considered Port Said to be the most crucial location in the battle for the canal.,factual,"It was at Port Said that Nasser saw a confrontation with the invading forces as being the strategic and psychological focal point of Egypt's defense. A third infantry battalion and hundreds of national guardsmen were sent to the city as reinforcements, while two regular companies were dispatched to organize popular resistance. Nasser and Boghdadi traveled to the canal zone to boost the morale of the armed volunteers. According to Boghdadi's memoirs, Nasser described the Egyptian Army as ""shattered"" as he saw the wreckage of Egyptian military equipment en route. When British and French forces landed in Port Said on 5–6 November, its local militia put up a stiff resistance, resulting in street-to-street fighting. The Egyptian Army commander in the city was preparing to request terms for a ceasefire, but Nasser ordered him to desist. The British-French forces managed to largely secure the city by 7 November. Between 750 and 1,000 Egyptians were killed in the battle for Port Said.",What did Nasser think was the most importatnt location in the battle for the canal?,Nasser saw Port Said as the strategic and psychological focal point of Egypt's defense in the battle for the canal.
Microsoft named the SKU that replaced the Xbox 360 Core as the Xbox 360 Arcade.,factual,"At launch, the Xbox 360 was available in two configurations: the ""Xbox 360"" package (unofficially known as the 20 GB Pro or Premium), priced at US$399 or GB£279.99, and the ""Xbox 360 Core"", priced at US$299 and GB£209.99. The original shipment of the Xbox 360 version included a cut-down version of the Media Remote as a promotion. The Elite package was launched later at US$479. The ""Xbox 360 Core"" was replaced by the ""Xbox 360 Arcade"" in October 2007 and a 60 GB version of the Xbox 360 Pro was released on August 1, 2008. The Pro package was discontinued and marked down to US$249 on August 28, 2009 to be sold until stock ran out, while the Elite was also marked down in price to US$299.",What did Microsoft name the SKU that replaced the 360 Core?,"Microsoft named the SKU that replaced the Xbox 360 Core the ""Xbox 360 Arcade."""
"The territory of Warmia was incorporated on January 31, 1773.",factual,"In the 1772 First Partition of Poland, the Prussian king Frederick the Great annexed neighboring Royal Prussia, i.e. the Polish voivodeships of Pomerania (Gdańsk Pomerania or Pomerelia), Malbork, Chełmno and the Prince-Bishopric of Warmia, thereby bridging the ""Polish Corridor"" between his Prussian and Farther Pomeranian lands and cutting remaining Poland off the Baltic Coast. The territory of Warmia was incorporated into the lands of former Ducal Prussia, which, by administrative deed of 31 January 1773 were named East Prussia. The former Polish Pomerelian lands beyond the Vistula River together with Malbork and Chełmno Land formed the Province of West Prussia with its capital at Marienwerder (Kwidzyn). The Polish Partition Sejm ratified the cession on 30 September 1773, whereafter Frederick officially went on to call himself a King ""of"" Prussia.",In what year was the territory of Warmia incorporated? ,The territory of Warmia was incorporated in 1773.
"In the preface to his work ""Process and Reality,"" Whitehead expressed his gratitude and indebtedness to the pragmatist philosophers William James and John Dewey.",factual,"One philosophical school which has historically had a close relationship with process philosophy is American pragmatism. Whitehead himself thought highly of William James and John Dewey, and acknowledged his indebtedness to them in the preface to Process and Reality. Charles Hartshorne (along with Paul Weiss) edited the collected papers of Charles Sanders Peirce, one of the founders of pragmatism. Noted neopragmatist Richard Rorty was in turn a student of Hartshorne. Today, Nicholas Rescher is one example of a philosopher who advocates both process philosophy and pragmatism.","What pragmatists did Whitehead acknowledge in the preface to ""Process and Reality""?","Whitehead acknowledged William James and John Dewey in the preface to ""Process and Reality."""
"By analyzing fossil pollen deposits found in soil sediments, scientists can reconstruct past climates and determine how climate changes have occurred over thousands or millions of years.",factual,"Plant responses to climate and other environmental changes can inform our understanding of how these changes affect ecosystem function and productivity. For example, plant phenology can be a useful proxy for temperature in historical climatology, and the biological impact of climate change and global warming. Palynology, the analysis of fossil pollen deposits in sediments from thousands or millions of years ago allows the reconstruction of past climates. Estimates of atmospheric CO2 concentrations since the Palaeozoic have been obtained from stomatal densities and the leaf shapes and sizes of ancient land plants. Ozone depletion can expose plants to higher levels of ultraviolet radiation-B (UV-B), resulting in lower growth rates. Moreover, information from studies of community ecology, plant systematics, and taxonomy is essential to understanding vegetation change, habitat destruction and species extinction.",How can climate changes be determined from soil?,"Climate changes can be determined from soil by analyzing fossil pollen deposits in sediments (palynology), which allows the reconstruction of past climates."
The amygdala is believed to play a role in emotional memory.,factual,"Brain areas involved in the neuroanatomy of memory such as the hippocampus, the amygdala, the striatum, or the mammillary bodies are thought to be involved in specific types of memory. For example, the hippocampus is believed to be involved in spatial learning and declarative learning, while the amygdala is thought to be involved in emotional memory. Damage to certain areas in patients and animal models and subsequent memory deficits is a primary source of information. However, rather than implicating a specific area, it could be that damage to adjacent areas, or to a pathway traveling through the area is actually responsible for the observed deficit. Further, it is not sufficient to describe memory, and its counterpart, learning, as solely dependent on specific brain regions. Learning and memory are attributed to changes in neuronal synapses, thought to be mediated by long-term potentiation and long-term depression.",What role does the amygdala play in memory?,The amygdala is thought to be involved in emotional memory.
Comcast's profit margin in 2009 was 8.4%.,factual,"The book value of the company nearly doubled from $8.19 a share in 1999 to $15 a share in 2009. Revenues grew sixfold from 1999's $6 billion to almost $36 billion in 2009. Net profit margin rose from 4.2% in 1999 to 8.4% in 2009, with operating margins improving 31 percent and return on equity doubling to 6.7 percent in the same time span. Between 1999 and 2009, return on capital nearly tripled to 7 percent. Comcast reported first quarter 2012 profit increases of 30% due to increase in high-speed internet customers. In February 2014, Comcast generated 1.1 billion in revenue during the first quarter due to the Sochi Olympics,.",What was Comcast's profit margin in 2009?,Comcast's net profit margin in 2009 was 8.4%.
the preamble,contradiction,"The end of a treaty, the eschatocol (or closing protocol), is often signaled by a clause like ""in witness whereof"" or ""in faith whereof,"" the parties have affixed their signatures, followed by the words ""DONE at,"" then the site(s) of the treaty's execution and the date(s) of its execution. The date is typically written in its most formal, longest possible form. For example, the Charter of the United Nations was ""DONE at the city of San Francisco the twenty-sixth day of June, one thousand nine hundred and forty-five."" If the treaty is executed in multiple copies in different languages, that fact is always noted, and is followed by a stipulation that the versions in different languages are equally authentic.",What is the formal name for the closing protocol of a treaty?,The formal name for the closing protocol of a treaty is the eschatocol.
"No, creating an endospore is not a reproductive process. In most cases, only one endospore is formed per cell, and it serves as a dormant, highly resistant structure rather than a means of reproduction.",factual,"Certain genera of Gram-positive bacteria, such as Bacillus, Clostridium, Sporohalobacter, Anaerobacter, and Heliobacterium, can form highly resistant, dormant structures called endospores. In almost all cases, one endospore is formed and this is not a reproductive process, although Anaerobacter can make up to seven endospores in a single cell. Endospores have a central core of cytoplasm containing DNA and ribosomes surrounded by a cortex layer and protected by an impermeable and rigid coat. Dipicolinic acid is a chemical compound that composes 5% to 15% of the dry weight of bacterial spores. It is implicated as responsible for the heat resistance of the endospore.",Is creating endospore a reproductive process?,"No, creating an endospore is not a reproductive process."
Qutb Shahi architecture was heavily influenced by classical Persian architectural styles.,factual,"Qutb Shahi architecture of the 16th and early 17th centuries followed classical Persian architecture featuring domes and colossal arches. The oldest surviving Qutb Shahi structure in Hyderabad is the ruins of Golconda fort built in the 16th century. The Charminar, Mecca Masjid, Charkaman and Qutb Shahi tombs are other existing structures of this period. Among these the Charminar has become an icon of the city; located in the centre of old Hyderabad, it is a square structure with sides 20 m (66 ft) long and four grand arches each facing a road. At each corner stands a 56 m (184 ft)-high minaret. Most of the historical bazaars that still exist were constructed on the street north of Charminar towards Golconda fort. The Charminar, Qutb Shahi tombs and Golconda fort are considered to be monuments of national importance in India; in 2010 the Indian government proposed that the sites be listed for UNESCO World Heritage status.:11–18",What influence did Qutb Shahi architecture borrow from?,Qutb Shahi architecture borrowed influence from classical Persian architecture.
"Tibetan Muslims are known as Kachee, also spelled as Kache.",factual,"Muslims have been living in Tibet since as early as the 8th or 9th century. In Tibetan cities, there are small communities of Muslims, known as Kachee (Kache), who trace their origin to immigrants from three main regions: Kashmir (Kachee Yul in ancient Tibetan), Ladakh and the Central Asian Turkic countries. Islamic influence in Tibet also came from Persia. After 1959 a group of Tibetan Muslims made a case for Indian nationality based on their historic roots to Kashmir and the Indian government declared all Tibetan Muslims Indian citizens later on that year. Other Muslim ethnic groups who have long inhabited Tibet include Hui, Salar, Dongxiang and Bonan. There is also a well established Chinese Muslim community (gya kachee), which traces its ancestry back to the Hui ethnic group of China.",What are Tibetan Muslims known as?,Tibetan Muslims are known as Kachee (Kache).
The SNES was released in Brazil in 1993.,factual,"On August 23, 1991,[a] Nintendo released the Super Nintendo Entertainment System, a redesigned version of the Super Famicom, in North America for US$199. The SNES was released in the United Kingdom and Ireland in April 1992 for GB£150, with a German release following a few weeks later. Most of the PAL region versions of the console use the Japanese Super Famicom design, except for labeling and the length of the joypad leads. The Playtronic Super NES in Brazil, although PAL, uses the North American design. Both the NES and SNES were released in Brazil in 1993 by Playtronic, a joint venture between the toy company Estrela and consumer electronics company Gradiente.",When was the SNES released in Brazil?,The SNES was released in Brazil in 1993.
"In 2014, the New York City Subway had a total of 1.75 billion passenger rides.",factual,"The iconic New York City Subway system is the largest rapid transit system in the world when measured by stations in operation, with 469, and by length of routes. New York's subway is notable for nearly the entire system remaining open 24 hours a day, in contrast to the overnight shutdown common to systems in most cities, including Hong Kong, London, Paris, Seoul, and Tokyo. The New York City Subway is also the busiest metropolitan rail transit system in the Western Hemisphere, with 1.75 billion passengers rides in 2014, while Grand Central Terminal, also popularly referred to as ""Grand Central Station"", is the world's largest railway station by number of train platforms.",How many people rode the New York City Subway in 2014?,1.75 billion people rode the New York City Subway in 2014.
One advantage of using LED lighting over traditional light sources is that LEDs have a longer lifespan.,factual,"Recent developments in LEDs permit them to be used in environmental and task lighting. LEDs have many advantages over incandescent light sources including lower energy consumption, longer lifetime, improved physical robustness, smaller size, and faster switching. Light-emitting diodes are now used in applications as diverse as aviation lighting, automotive headlamps, advertising, general lighting, traffic signals, camera flashes and lighted wallpaper. As of 2015[update], LEDs powerful enough for room lighting remain somewhat more expensive, and require more precise current and heat management, than compact fluorescent lamp sources of comparable output.",What is an advantage to using LED lighting over the normal light sources?,An advantage of using LED lighting over normal light sources is lower energy consumption.
Trade goods in southern Mesopotamia were transported via the extensive network of canals and rivers that crisscrossed the region.,factual,,How were trade goods transported in southern Mesopotamia?,"In southern Mesopotamia, trade goods were primarily transported by river using boats and barges along the Euphrates and Tigris rivers. Overland transport involved donkeys and carts, but waterways were the main routes for moving large quantities of goods efficiently."
The unique form of dance that originated in the neighborhoods of Montevideo is Uruguayan tango.,factual,"Montevideo has a very rich architectural heritage and an impressive number of writers, artists, and musicians. Uruguayan tango is a unique form of dance that originated in the neighbourhoods of Montevideo towards the end of the 1800s. Tango, candombe and murga are the three main styles of music in this city. The city is also the centre of the cinema of Uruguay, which includes commercial, documentary and experimental films. There are two movie theatre companies running seven cinemas, around ten independent ones and four art film cinemas in the city. The theatre of Uruguay is admired inside and outside Uruguayan borders. The Solís Theatre is the most prominent theatre in Uruguay and the oldest in South America. There are several notable theatrical companies and thousands of professional actors and amateurs. Montevideo playwrights produce dozens of works each year; of major note are Mauricio Rosencof, Ana Magnabosco and Ricardo Prieto.",What unique form of dance originated in the neighbourhods of Montevideo?,Uruguayan tango is the unique form of dance that originated in the neighbourhoods of Montevideo.
"The leader of Kiev gained political control due to the city's expansion of trade and its geographical proximity, which made it the most important trade center and chief among the communes.",factual,"Due to the expansion of trade and its geographical proximity, Kiev became the most important trade centre and chief among the communes; therefore the leader of Kiev gained political ""control"" over the surrounding areas. This princedom emerged from a coalition of traditional patriarchic family communes banded together in an effort to increase the applicable workforce and expand the productivity of the land. This union developed the first major cities in the Rus' and was the first notable form of self-government. As these communes became larger, the emphasis was taken off the family holdings and placed on the territory that surrounded. This shift in ideology became known as the verv'.",How did the leader of Kiev gain political control?,"The leader of Kiev gained political control by becoming the chief among the communes due to Kiev's importance as a trade center and its geographical proximity, which allowed them to exert influence over the surrounding areas."
"The U.S.-UK Combined Chiefs of Staff was located in Washington, D.C.",factual,"In early 1942, the governments of smaller powers began to push for an inter-governmental Asia-Pacific war council, based in Washington, D.C.. A council was established in London, with a subsidiary body in Washington. However, the smaller powers continued to push for an American-based body. The Pacific War Council was formed in Washington, on 1 April 1942, with President Franklin D. Roosevelt, his key advisor Harry Hopkins, and representatives from Britain, China, Australia, the Netherlands, New Zealand, and Canada. Representatives from India and the Philippines were later added. The council never had any direct operational control, and any decisions it made were referred to the U.S.-UK Combined Chiefs of Staff, which was also in Washington. Allied resistance, at first symbolic, gradually began to stiffen. Australian and Dutch forces led civilians in a prolonged guerilla campaign in Portuguese Timor.",Where was the U.S.-UK Combined Chiefs of Staff located?,The U.S.-UK Combined Chiefs of Staff was located in Washington.
Madonna won the Golden Globe Award for Best Actress in a Motion Picture Musical or Comedy for her role in the film Evita.,factual,,What award did Madonna win for the film Evita?,Madonna won a Golden Globe Award for Best Actress in a Motion Picture – Comedy or Musical for her role in the film *Evita*.
"According to records, Jersey Dutch was last spoken in the year 1921.",factual,"In the United States, an almost extinct dialect of Dutch, Jersey Dutch, spoken by descendants of 17th-century Dutch settlers in Bergen and Passaic counties, was still spoken as late as 1921. Other Dutch-based creole languages once spoken in the Americas include Mohawk Dutch (in Albany, New York), Berbice (in Guyana), Skepi (in Essequibo, Guyana) and Negerhollands (in the United States Virgin Islands). Pennsylvania Dutch is not a member of the set of Dutch dialects and is less misleadingly called Pennsylvania German.","What's the year that Jersey Dutch was last spoken, according to records?",Jersey Dutch was still spoken as late as 1921.
"The Norfuk language was initially spoken by the descendants of the first free settlers of Norfolk Island, who themselves were descendants of the settlers from Pitcairn Island.",factual,"Islanders speak both English and a creole language known as Norfuk, a blend of 18th-century English and Tahitian. The Norfuk language is decreasing in popularity as more tourists travel to the island and more young people leave for work and study reasons; however, there are efforts to keep it alive via dictionaries and the renaming of some tourist attractions to their Norfuk equivalents. In 2004 an act of the Norfolk Island Assembly made it a co-official language of the island. The act is long-titled: ""An Act to recognise the Norfolk Island Language (Norf'k) as an official language of Norfolk Island."" The ""language known as 'Norf'k'"" is described as the language ""that is spoken by descendants of the first free settlers of Norfolk Island who were descendants of the settlers of Pitcairn Island"". The act recognises and protects use of the language but does not require it; in official use, it must be accompanied by an accurate translation into English. 32% of the total population reported speaking a language other than English in the 2011 census, and just under three-quarters of the ordinarily resident population could speak Norfuk.",The Norfuk language of Norfolk Island was first spoken by whom?,"The Norfuk language was first spoken by descendants of the first free settlers of Norfolk Island, who were descendants of the settlers of Pitcairn Island."
The former opposition parties announced their intention to boycott the newly appointed government.,factual,"A new government was appointed on 31 March 2013, which consisted of members of Séléka and representatives of the opposition to Bozizé, one pro-Bozizé individual, and a number representatives of civil society. On 1 April, the former opposition parties declared that they would boycott the government. After African leaders in Chad refused to recognize Djotodia as President, proposing to form a transitional council and the holding of new elections, Djotodia signed a decree on 6 April for the formation of a council that would act as a transitional parliament. The council was tasked with electing a president to serve prior to elections in 18 months.",What did the former opposition parties declare?,The former opposition parties declared that they would boycott the government.
"The Jurassic Period lasted from approximately 201.3 million years ago, plus or minus 0.2 million years, to around 145.0 million years ago.",factual,"The Jurassic Period extends from about 201.3 ± 0.2 to 145.0 Ma. During the early Jurassic, the supercontinent Pangaea broke up into the northern supercontinent Laurasia and the southern supercontinent Gondwana; the Gulf of Mexico opened in the new rift between North America and what is now Mexico's Yucatan Peninsula. The Jurassic North Atlantic Ocean was relatively narrow, while the South Atlantic did not open until the following Cretaceous Period, when Gondwana itself rifted apart. The Tethys Sea closed, and the Neotethys basin appeared. Climates were warm, with no evidence of glaciation. As in the Triassic, there was apparently no land near either pole, and no extensive ice caps existed. The Jurassic geological record is good in western Europe, where extensive marine sequences indicate a time when much of the continent was submerged under shallow tropical seas; famous locales include the Jurassic Coast World Heritage Site and the renowned late Jurassic lagerstätten of Holzmaden and Solnhofen. In contrast, the North American Jurassic record is the poorest of the Mesozoic, with few outcrops at the surface. Though the epicontinental Sundance Sea left marine deposits in parts of the northern plains of the United States and Canada during the late Jurassic, most exposed sediments from this period are continental, such as the alluvial deposits of the Morrison Formation. The first of several massive batholiths were emplaced in the northern Cordillera beginning in the mid-Jurassic, marking the Nevadan orogeny. Important Jurassic exposures are also found in Russia, India, South America, Japan, Australasia and the United Kingdom.",During what years was the Jurassic period?,The Jurassic Period extends from about 201.3 ± 0.2 million years ago (Ma) to 145.0 Ma.
David Hume was born in the year 1711.,factual,"The Scottish philosopher David Hume (1711–1776) responded to Berkeley's criticisms of Locke, as well as other differences between early modern philosophers, and moved empiricism to a new level of skepticism. Hume argued in keeping with the empiricist view that all knowledge derives from sense experience, but he accepted that this has implications not normally acceptable to philosophers. He wrote for example, ""Locke divides all arguments into demonstrative and probable. On this view, we must say that it is only probable that all men must die or that the sun will rise to-morrow, because neither of these can be demonstrated. But to conform our language more to common use, we ought to divide arguments into demonstrations, proofs, and probabilities—by ‘proofs’ meaning arguments from experience that leave no room for doubt or opposition."" And,",When was Hume born?,David Hume was born in 1711.
"Jews in Alsace were forced to settle in villages, as they were barred from living in most cities.",factual,"By 1790, the Jewish population of Alsace was approximately 22,500, about 3% of the provincial population. They were highly segregated and subject to long-standing anti-Jewish regulations. They maintained their own customs, Yiddish language, and historic traditions within the tightly-knit ghettos; they adhered to Talmudic law enforced by their rabbis. Jews were barred from most cities and instead lived in villages. They concentrated in trade, services, and especially in money lending. They financed about a third of the mortgages in Alsace. Official tolerance grew during the French Revolution, with full emancipation in 1791. However, local antisemitism also increased and Napoleon turned hostile in 1806, imposing a one-year moratorium on all debts owed to Jews.[citation needed] In the 1830-1870 era most Jews moved to the cities, where they integrated and acculturated, as antisemitism sharply declined. By 1831, the state began paying salaries to official rabbis, and in 1846 a special legal oath for Jews was discontinued. Antisemitic local riots occasionally occurred, especially during the Revolution of 1848. Merger of Alsace into Germany in 1871-1918 lessened antisemitic violence.","Jews were banned from cities in Alsace, where were they forced to settle?",
"In its resolution recognizing genocide, the UN General Assembly failed to include a legal definition of the crime.",factual,"After the Holocaust, which had been perpetrated by the Nazi Germany and its allies prior to and during World War II, Lemkin successfully campaigned for the universal acceptance of international laws defining and forbidding genocides. In 1946, the first session of the United Nations General Assembly adopted a resolution that ""affirmed"" that genocide was a crime under international law, but did not provide a legal definition of the crime. In 1948, the UN General Assembly adopted the Convention on the Prevention and Punishment of the Crime of Genocide (CPPCG) which defined the crime of genocide for the first time.","While recognizing genocide, what did the UN General Assembly fail to do in its resolution?",The UN General Assembly failed to provide a legal definition of the crime of genocide in its 1946 resolution.
Thermodynamics categorizes energy transformations into two main types: reversible processes and irreversible processes.,factual,"Thermodynamics divides energy transformation into two kinds: reversible processes and irreversible processes. An irreversible process is one in which energy is dissipated (spread) into empty energy states available in a volume, from which it cannot be recovered into more concentrated forms (fewer quantum states), without degradation of even more energy. A reversible process is one in which this sort of dissipation does not happen. For example, conversion of energy from one type of potential field to another, is reversible, as in the pendulum system described above. In processes where heat is generated, quantum states of lower energy, present as possible excitations in fields between atoms, act as a reservoir for part of the energy, from which it cannot be recovered, in order to be converted with 100% efficiency into other forms of energy. In this case, the energy must partly stay as heat, and cannot be completely recovered as usable energy, except at the price of an increase in some other kind of heat-like increase in disorder in quantum states, in the universe (such as an expansion of matter, or a randomisation in a crystal).",Thermodynamics divides energy information into what two kinds?,Thermodynamics divides energy transformation into two kinds: reversible processes and irreversible processes.
"Brasília is focusing on promoting industries such as software, film, video, and gemology.",factual,,What industries is Brasilia trying to encourage?,"Brasilia is trying to encourage industries related to government services, administration, and tourism, as it is primarily designed as the capital city of Brazil. Additionally, the city promotes sectors in construction, real estate, and services to support its administrative functions."
"According to the 2000 census, 55% of the population identified as white.",factual,"By the 2000 census, demographic changes including the end to slavery, immigration from Europe and Asia, assimilation of multiracial persons, and other factors resulted in a population in which 6.2% of the population identified as black, 40% as pardo, and 55% as white. Essentially most of the black population was absorbed into the multi-racial category by intermixing. A 2007 genetic study found that at least 29% of the middle-class, white Brazilian population had some recent (since 1822 and the end of the colonial period) African ancestry.",How much identified as white?,55% identified as white.
